B19187495           5214201601297501124814984    45.67      2      0     0.00  0.00 18.00
B19187495           5214201601297501124815103    84.73      1      0     0.00  0.00 18.00
B19187495           5214201601297501124817954    36.53      2      0     0.00  0.00 18.00
B19187495           5214201601297501125118562    26.82      3      0     0.00  0.00 18.00
B19187495           5214201601297501125130878    14.55      4      0     0.00  0.00 18.00
B19187495           521420160129 008400001313    42.90      1      0     0.00  0.00 18.00
B19187495           5214201601297501125130885    14.55      4      0     0.00  0.00 18.00
B19187495           521420160129 020800753067    42.02      2      0     0.00  0.00 18.00
B19187495           521420160129 020800755719    52.61      1      0     0.00  0.00 18.00
B19187495           5214201601297501125130892    14.55      4      0     0.00  0.00 18.00
B19187495           5214201601297501125143182    19.51      4      0     0.00  0.00 18.00
B19187495           521420160129 020800756440    42.02      1      0     0.00  0.00 18.00
B19187495           5214201601297501125143199    19.51      4      0     0.00  0.00 18.00
B19187495           521420160129 714706100604    20.22      2      0     0.00  0.00 18.00
B19187495           521420160129 714706901607    20.22      2      0     0.00  0.00 18.00
B19187495           5214201601297501125143205    19.51      4      0     0.00  0.00 18.00
B19187495           5214201601297501125149221    26.82      4      0     0.00  0.00 18.00
B19187495           521420160129 736085132069    47.47      2      0     0.00  0.00 18.00
B19187495           5214201601297501250818689   381.34      1      0     0.00  4.76 18.00
B19187495           521420160129 736085278507    45.48      3      0     0.00  0.00 18.00
B19187495           521420160129 736085405422    69.71      2      0     0.00  0.00 18.00
B19187495           5214201601297501250840086   290.90      1      0    16.00  0.00 18.00
B19187495           5214201601297501001116187    80.07      9      0     0.00  0.00 18.00
B19187495           5214201601297501273500165   227.33      1      0    16.00  0.00 18.00
B19187495           5214201601297501273500134   152.36      1      0    16.00  0.00 18.00
B19187495           5214201601297501001168889    73.62      2      0     0.00  0.00 18.00
B19187495           5214201601297501080912052    59.68      1      0    16.00  0.00 18.00
B19187495           5214201601297501273500554   174.13      1      0    16.00  0.00 18.00
B19187495           5214201601297501088509766    59.94      2      0     0.00  0.00 18.00
B19187495           5214201601297501273500585    79.81      1      0    16.00  0.00 18.00
B19187495           5214201601297501369200016    89.51      1      0     0.00  0.00 18.00
B19187495           5214201601297501088509810    66.48      2      0     0.00  0.00 18.00
B19187495           5214201601297501088579615    88.28      1      0     0.00  0.00 18.00
B19187495           5214201601297501400800403    57.76      1      0     0.00  0.00 18.00
B19187495           5214201601297501094911485    90.13      1      0     0.00  0.00 18.00
B19187495           5214201601297503008821026   154.29      1      0    16.00  0.00 18.00
B19187495           5214201601297503008821033   247.68      1      0    16.00  0.00 18.00
B19187495           5214201601297501124810986    53.73      2      0     0.00  0.00 18.00
B19187495           5214201601297501124810993    86.76      2      0     0.00  0.00 18.00
B19187495           5214201601297590002012468    54.80      5      0     0.00  0.00 18.00
B19187495           5214201601297501124813055   165.12      1      0     0.00  0.00 18.00
B19187496           5214201601297501314707645    23.65      1      0     0.00  0.00  0.00
B19187496           5214201601297501298211442    54.09      1      0     0.00  0.00  0.00
B19187496           5214201601297501314707805    96.69      1      0     0.00  0.00  0.00
B19187496           5214201601297501314707812    96.69      9      0     0.00  0.00  0.00
B19187496           5214201601297501070637279   177.71      1      0    16.00  0.00  0.00
B19187496           5214201601297501054530398   111.24      1      0    16.00  0.00  0.00
B19187496           5214201601297501035908246    14.80      4      0    16.00  0.00  0.00
B19187496           521420160129 310158077046    49.65      3      0    16.00  0.00  0.00
B19187496           521420160129 650240001635   258.39      1      0     0.00  0.00  0.00
B19187496           5214201601297501008427347    41.12      2      0     0.00  0.00  0.00
B19187496           5214201601297501035911567     9.99      2      0    16.00  0.00  0.00
B19187496           5214201601297501008427330    72.80      2      0     0.00  0.00  0.00
B19187496           5214201601297501159580014   113.80      1      0     0.00  0.00  0.00
B19187496           5214201601297501159580182   114.33      1      0     0.00  0.00  0.00
B19187496           5214201601297501034630070    88.82      1      0     0.00  0.00  0.00
B19187496           5214201601297501034670069   160.01      1      0     0.00  0.00  0.00
B19187496           5214201601297501299302866   171.57      1      0     0.00  0.00  0.00
B19187496           5214201601297501299303047    40.57      1      0     0.00  0.00  0.00
B19187496           5214201601297501314704156    21.49      3      0     0.00  0.00  0.00
B19187496           5214201601297501034635044    89.47      1      0    16.00  0.00  0.00
B19187496           5214201601297501034635181   163.35      9      0     0.00  0.00  0.00
B19187496           5214201601297501299301326    91.77      1      0     0.00  0.00  0.00
B19187496           5214201601297501314704170    31.55      1      0     0.00  0.00  0.00
B19187496           5214201601297501299303085    44.56      1      0     0.00  0.00  0.00
B19187496           5214201601297501314704149    28.68      2      0     0.00  0.00  0.00
B19187496           5214201601297501314704187    22.94      2      0     0.00  0.00  0.00
B19187496           5214201601297501034650580    76.73      2      0     0.00  0.00  0.00
B19187496           5214201601297501086494286    20.26      2      0    16.00  0.00  0.00
B19187496           5214201601297501086494675    44.51      1      0    16.00  0.00  0.00
B19187496           5214201601297501314703173    71.70      1      0     0.00  0.00  0.00
B19187496           5214201601297501008433515    60.43      2      0     0.00  0.00  0.00
B19187496           5214201601297501008465646    69.59      1      0     0.00  0.00  0.00
B19187496           5214201601297501086453221   127.23      1      0    16.00  0.00  0.00
B19187496           5214201601297501328979502    80.70      2      0     0.00  0.00  0.00
B19187496           5214201601297501092774754   165.51      1      0     0.00  0.00  0.00
B19187496           5214201601297501086494262    20.26      2      0    16.00  0.00  0.00
B19187496           5214201601297501328979885    47.69      9      0     0.00  0.00  0.00
B19187496           5214201601294005808802814    18.13      3      0    16.00  0.00  0.00
B19187496           5214201601294104480412103   158.13      1      0     0.00  0.00  0.00
B19187496           5214201601297501072300164    44.49      1      0     0.00  0.00  0.00
B19187496           5214201601297501072300171    61.62      1      0     0.00  0.00  0.00
