FECHA,CONTRATO,No. Concepto,Descripción detallada de los bienes                                                                (principio activo),Presentación                                                                                 (unidad de medida),MAXIMO,MINIMO,CLAVE GOB
30/12/2014,PEMEX3,1,ABACABIR ,LAMIVUDINA CAJA 30 TABLETAS 600/300 MG,0,0,-
30/12/2014,PEMEX3,2,ABCIXIMAB,FRASCO AMPULA 5 ML 10 MG,0,0,-
30/12/2014,PEMEX3,3,ACEITE INSAPONIFICABLE DE PERSEA GRATISSIMA,GLYCINE MAX CAJA CON 15 CAPSULAS 100/200 MG,0,0,-
30/12/2014,PEMEX3,4,ACEITE MINERAL ,LANOLINA ANHIDRA TUBO UNGÜENTO 3.5 G 30 / 30 MG,0,0,-
30/12/2014,PEMEX3,5,ACEMETACINA,CAJA CON 28 CAPSULAS 60 MG,0,0,-
30/12/2014,PEMEX3,6,ACENOCUMAROL,CAJA CON 30 TABLETAS 4 MG,0,0,-
30/12/2014,PEMEX3,7,ACETILSALICILICO ACIDO,CAJA CON 28 COMPRIMIDOS 100 MG,0,0,-
30/12/2014,PEMEX3,8,ACETOZOLAMIDA,FRASCO 30 TABLETAS 250 MG,0,0,-
30/12/2014,PEMEX3,9,ACEXAMATO DE SODIO,SULFATO DE NEOMICINA EQUIVALENTE DE NEOMICINA UNGÜENTO TUBO 40 G 5 G/0.4 G 100 G,0,0,-
30/12/2014,PEMEX3,10,ACICLOVIR,TUBO UNGÜENTO 4.5 G 30 MG/G,0,0,-
30/12/2014,PEMEX3,11,ACICLOVIR,FRASCO SUSPENSION 120 ML 4 G/100 ML,0,0,-
30/12/2014,PEMEX3,12,ACICLOVIR,CAJA CON 35 TABLETAS 400 MG,0,0,-
30/12/2014,PEMEX3,13,ACICLOVIR,TUBO CREMA 5 G 0.05 G/G,0,0,-
30/12/2014,PEMEX3,14,ACICLOVIR,CAJA CON 25 COMPRIMIDOS 200MG,0,0,-
30/12/2014,PEMEX3,15,ACIDO ASCORBICO (VITAMINA C) 100 MG,ACIDO FOLICO. 0.4 MG BIOTINA 0.060MG FRASCO AMPULA LIOFILIZADO 5 ML 100 MG/0.4 MG/0.060 MG/0.005 MG/15 MG/3.6 MG/40 MG/4 MG/3 MG/3300 U.I./200 U.I./10 U.I./0.2 MG,0,0,-
30/12/2014,PEMEX3,16,ADALIMUMAB,CAJA CON SOLUCION INYECTABLE 40MG/0.8 ML EN JERINGA PRELLENADA,0,0,-
30/12/2014,PEMEX3,17,ALBENDAZOL,FRASCO SOLUCION 10 ML 200 MG,0,0,-
30/12/2014,PEMEX3,18,ALBENDAZOL,CAJA CON 6 TABLETAS 200 MG,0,0,-
30/12/2014,PEMEX3,19,ALBENDAZOL,QUINFAMIDA CAJA CON 2 TABLETAS 200 MG/150 MG,0,0,-
30/12/2014,PEMEX3,20,ALBENDAZOL,QUINFAMIDA FRASCO SUSPENSIÓN 400MG/100MG 10 ML,0,0,-
30/12/2014,PEMEX3,21,ALENDRONATO SODICO,CAJA 4 COMPRIMIDOS O GRAGEAS 70 MG,0,0,-
30/12/2014,PEMEX3,22,ALFACALCIDOL,CAJA CON 30 CAPSULAS 1 MCG,0,0,-
30/12/2014,PEMEX3,23,ALFAMETILDOPA (METILDOPA),CAJA CON 30 TABLETAS 250 MG,0,0,-
30/12/2014,PEMEX3,24,ALFUZOSINA CLORHIDRATO DE,CAJA CON 28 TABLETAS DE LIBERACION PROLONGADA 10 MG,0,0,-
30/12/2014,PEMEX3,25,ALISKIREN HEMIFUMARATO DE ,HIDROCLOROTIAZIDA CAJA CON 28 COMPRIMIDOS 300/12.5 MG,0,0,-
30/12/2014,PEMEX3,26,ALISKIRENO HEMIFUMARATO DE,CAJA CON 28 COMPRIMIDOS 300 MG,0,0,-
