FECHA,CONTRATO,No. Concepto,Descripción detallada de los bienes                                                                (principio activo),Presentación                                                                                 (unidad de medida),MAXIMO,MINIMO,CLAVE GOB
2015-01-07,PEMEXF,1,ABACABIR ,SULFATO LAMIVUDINA CAJA 30 TABLETAS 600/300 MG,0,0,-
2015-01-07,PEMEXF,3,ACEITE ,INSAPONIFICABLE DE PERSEA GRATISSIMA GLYCINE MAX CAJA CON 15 CAPSULAS 100/200 MG,0,0,-
2015-01-07,PEMEXF,4,ACEITE,MINERAL  LANOLINA ANHIDRA TUBO UNGÜENTO 3.5 G 30 / 30 MG,0,0,-
2015-01-07,PEMEXF,7,ACETILSALICILICO ,CAJA CON 28 COMPRIMIDOS 100 MG,0,0,-
2015-01-07,PEMEXF,8,ACETOZOLAMIDA,FRASCO 30 TABLETAS 250 MG,0,0,-
2015-01-07,PEMEXF,9,ACEXAMATO ,DE SODIO SULFATO DE NEOMICINA EQUIVALENTE DE NEOMICINA UNGÜENTO TUBO 40 G 5 G/0.4 G 100 G,0,0,-
2015-01-07,PEMEXF,15, ASCORBICO ,(VITAMINA C) 100 MG ACIDO FOLICO. 0.4 MG BIOTINA 0.060MG FRASCO AMPULA LIOFILIZADO 5 ML 100 MG/0.4 MG/0.060 MG/0.005 MG/15 MG/3.6 MG/40 MG/4 MG/3 MG/3 300 U.I./200 U.I./10 U.I./0.2 MG,0,0,-
2015-01-07,PEMEXF,24,ALFUZOSINA ,CLORHIDRATO DE CAJA CON 28 TABLETAS DE LIBERACION PROLONGADA 10 MG,0,0,-
2015-01-07,PEMEXF,25,ALISKIREN ,HEMIFUMARATO DE  HIDROCLOROTIAZIDA CAJA CON 28 COMPRIMIDOS 300/12.5 MG,0,0,-
2015-01-07,PEMEXF,26,ALISKIRENO ,HEMIFUMARATO DE CAJA CON 28 COMPRIMIDOS 300 MG,0,0,-
2015-01-07,PEMEXF,27,ALOGLUTAMOL,FRASCO POLVO 120 ML 1 G / 5 ML,0,0,-
2015-01-07,PEMEXF,33,ALUMINIO ,HIDROXIDO DE MAGNESIO HIDROXIDO DE DIMETICONA FRASCO SUSPENSION 360 ML 3.7/4/0.5 G/100 ML,0,0,-
2015-01-07,PEMEXF,34,AMANTADINA,CAJA CON 30 TABLETAS 100 MG,0,0,-
2015-01-07,PEMEXF,40,AMILORIDA,HIDROCLOROTIAZIDA CAJA CON 30 TABLETAS 5/50 MG,0,0,-
2015-01-07,PEMEXF,41,AMINOFENAZONA,BUFENINA DIFENILPIRALINA CAJA CON 20 CAPSULAS 40/1.5 /1.5 MG,0,0,-
2015-01-07,PEMEXF,42,AMINOFENAZONA,BUFENINA DIFENILPIRALINA FRASCO SOLUCION PEDIATRICA 25 ML 2 G / 75 / 75 MG / 100 ML,0,0,-
2015-01-07,PEMEXF,45,AMLODIPINO,BESILATO DE CAJA CON 30 TABLETAS 5 MG,0,0,-
2015-01-07,PEMEXF,46,AMLODIPINO,BESILATO DE VALSARTAN CAJA CON 28 COMPRIMIDOS 5 MG/160 MG,0,0,-
