FECHA,CONTRATO,No. Concepto,Descripción detallada de los bienes                                                                (principio activo),Presentación                                                                                  unidad de medida ,MAXIMO,MINIMO,CLAVE GOB
2015-02-25,OAXACA,1,Acenocumarol,Acenocumarol Tableta 4 mg 30 tabletas,0,0,624.01
2015-02-25,OAXACA,2,Acido alendrónico,Acido alendrónico Tableta o comprimido 70 mg 4 tabletas o comprimidos,0,0,4164
2015-02-25,OAXACA,3,Acido fólico,Acido fólico Tableta 4 mg 90 tabletas,0,0,1700
2015-02-25,OAXACA,4,Acido fólico,Acido fólico Tableta 5 mg 92 tabletas,0,0,1706.01
2015-02-25,OAXACA,5,Acido fólico,Acido fólico Tableta 0.4 mg 90 tabletas,0,0,1711
2015-02-25,OAXACA,6,Acido folínico,Acido folínico Solución inyectable 15 mg5 ml 5 ampolletas con 5 ml,0,0,2152
2015-02-25,OAXACA,7,Acido folínico,Acido folínico Tableta 15 mg 12 tabletas,0,0,5233
2015-02-25,OAXACA,8,ÁCIDO RISEDRÓNICO,ÁCIDO RISEDRÓNICO GRAGEA O TABLETA. Cada gragea o tableta contiene: Risedronato sódico 35 mg. Envase con 4 grageas o tabletas.,0,0,4167
2015-02-25,OAXACA,9,ALCOHOL POLIVINÍLICO,ALCOHOL POLIVINÍLICO SOLUCIÓN OFTÁLMICA Cada ml contiene: Alcohol polivinílico 14 mg. Envase con gotero integral con 15 ml.,0,0,2172
2015-02-25,OAXACA,10,Almidón,Almidón Solución Inyectable al 10% Cada 100 ml. contienen: Poli 0-2 hidroxietil almidón ó pentalmidón ó hidroxietil almidón 2000.5 10 g. Envase con 250 ml.,0,0,3663
2015-02-25,OAXACA,11,Alprazolam,Alprazolam2 Tableta 0.25 mg 30 tabletas,0,0,2500
2015-02-25,OAXACA,12,Amoxicilina,Amoxicilina-ácido clavulánico Suspensión 125 mg31.25mg5 ml Envase con 60 ml,0,0,2129
2015-02-25,OAXACA,13,Amoxicilina,Amoxicilina-ácido clavulánico Solución inyectable 500 mg100 mg Envase con un frasco ámpula con 10 ml,0,0,2130
2015-02-25,OAXACA,14,Amoxicilina,Amoxicilina-ácido clavulánico Tableta 500 mg125 mg 16   tabletas,0,0,2230.01
