FECHA,CONTRATO,No. Concepto,Descripción detallada de los bienes                                                                (principio activo),Presentación                                                                                  unidad de medida ,MAXIMO,MINIMO,CLAVE GOB
2015-01-07,PEMEXF1,403,INFLIXIMAB,CAJA CON FRASCO POLVO LIOF 100MG 20ML,0,0,-
2015-01-07,PEMEXF1,405,INSULINA ,INSULINA LISPRO  ORIGEN ADN RECOMBINANTE  FRASCO AMPULA 10 ML 100 UI/ ML,0,0,-
2015-01-07,PEMEXF1,406,INSULINA ,INSULINA LISPRO  ORIGEN ADN RECOMBINANTE  INSULINA LISPRO PROTAMINA  ORIGEN ADN RECOMBINANTE  FRASCO AMPULA 10 ML 25 UI/75 UI 100 UI/ML,0,0,-
2015-01-07,PEMEXF1,407,INSULINA ,INSULINA ZINC HUMANA  ORIGEN ADN RECOMBINANTE  FRASCO AMPULA 10 ML 100 UI/ML ACCION RAPIDA,0,0,-
2015-01-07,PEMEXF1,408,INSULINA ,INSULINA ZINC ISOFANA HUMANA  ORIGEN ADN RECOMBINANTE  FRASCO AMPULA 10 ML 100 UI/ML NPH,0,0,-
2015-01-07,PEMEXF1,409,INSULINA ,INSULINA ZINC ISOFANA HUMANA  ORIGEN ADN RECOMBINANTE   INSULINA ZINC HUMANA  ORIGEN ADN RECOMBINANTE  FRASCO AMPULA 10 ML 70 UI/30 UI,0,0,-
2015-01-07,PEMEXF1,410,INTERFERON ,BETA 1A A CAJA CON JERINGA PRELLENADA O VIAL CON DILUYENTE 6 000 000 UI 30 MCG,0,0,-
2015-01-07,PEMEXF1,411,INTERFERON ,BETA 1B B CAJA 15 FRASCOS 8 000 000 UI 0 25MG,0,0,-
2015-01-07,PEMEXF1,412,IPRATROPIO ,BROMURO DE FRASCO SUSPENSION AEROSOL 10 ML 0 286 MG/ G 200 DOSIS,0,0,-
2015-01-07,PEMEXF1,413,IPRATROPIO ,BROMURO DE FENOTEROL BROMHIDRATO DE FRASCO AEROSOL 10 ML  200 DOSIS  0 394 MG/0 938 MG/1 G,0,0,-
2015-01-07,PEMEXF1,414,IPRATROPIO ,MONOHIDRATADO BROMURO DE FRASCO SOLUCION 20 ML 250 MCG/ML,0,0,-
2015-01-07,PEMEXF1,419,ISOCONAZOL ,NITRATO DE CAJA CON 1 OVULO 600 MG,0,0,-
2015-01-07,PEMEXF1,420,ISOCONAZOL ,NITRATO DETUBO CREMA VAGINAL 40 G 1 G/100 G,0,0,-
2015-01-07,PEMEXF1,422,ISOSORBIDE ,DINITRATO FRASCO SOLUCION ATOMIZADOR 18 8 ML 2 51 G/100 ML,0,0,-
2015-01-07,PEMEXF1,424,ISOSORBIDE ,DINITRATO CAJA CON 40 CAPSULAS LIBERACION PROLONGADA 40 MG,0,0,-
2015-01-07,PEMEXF1,426,ISOSORBIDE ,MONONITRATO 5 CAJA CON 20 TABLETAS DE LIBERACION PROLONGADA 60 MG,0,0,-
2015-01-07,PEMEXF1,427,ISOTIPENDILO ,CLORHIDRATO DE TUBO JALEA 25 G 0 75 G / 100 G,0,0,-
2015-01-07,PEMEXF1,428,ISOTRETINOINA,CAJA CON 30 CAPSULAS 10 MG,0,0,-
2015-01-07,PEMEXF1,434,KETANSERINA,METRONIDAZOL MICONAZOL NITRATO DE CAJA CON 10 OVULOS 36/500/100 MG,0,0,-
2015-01-07,PEMEXF1,445,GLUCONATO,LACTATO GLUCONATO DE CALCIO CARBONATO DE CALCIO CAJA CON 12 COMPRIMIDOS EFERVESCENTES 500 MG,0,0,-
2015-01-07,PEMEXF1,447,LAMIVUDINA,CAJA CON 60 TABLETAS 150MG,0,0,-
2015-01-07,PEMEXF1,450,LATANOPROST,FRASCO GOTAS OFTALMICAS SOLUCION 2 5 ML 50 MCG/ML,0,0,-
2015-01-07,PEMEXF1,451,LATANOPROST,TIMOLOL MALEATO DE FRASCO GOTAS OFTALMICAS SOLUCION 2 5 ML 50 MCG/6 83 MG/ML,0,0,-
2015-01-07,PEMEXF1,452,LECARNIDIPINO ,CLORHIDRATO DE CAJA CON 30 TABLETAS 10 MG,0,0,-
2015-01-07,PEMEXF1,456,LEUPROLIDE ,ACETATO DE CAJA CON 1 FRASCO AMPULA DE 2 8 ML CON 5 MG/ML 14 JERINGAS,0,0,-
2015-01-07,PEMEXF1,457,LEUPROLIDE,ACETATO DE  MICROESFERAS LIOFILIZADAS  FRASCO AMPULA 2 ML 3 75 MG LIOFILIZADO DILUYENTE 2 ML,0,0,-
2015-01-07,PEMEXF1,458,LEUPROLIDE ,LEUPROLIDE ACETATO DE  MICROESFERAS LIOFILIZADAS  CAJA CON 1 FRASCO AMPULA DE 2 0 ML CON 11 25 MG,0,0,-
2015-01-07,PEMEXF1,459,LEVAMISOL ,CLORHIDRATO DE CAJA CON 2 TABLETAS 50 MG,0,0,-
2015-01-07,PEMEXF1,460,LEVETIRACETAM,CAJA CON 60 TABLETAS 500 MG,0,0,-
2015-01-07,PEMEXF1,461,LEVETIRACETAM,FRASCO SOLUCION 150 ML 100 MG/ML,0,0,-
2015-01-07,PEMEXF1,463,LEVOCARNITINA,FRASCO SOLUCION 120 ML 10%,0,0,-
2015-01-07,PEMEXF1,464,LEVOCARNITINA,CAJA CON 20 TABLETAS MASTICABLES 1 G,0,0,-
2015-01-07,PEMEXF1,465,LEVOCARNITINA,FRASCO SOLUCION 60 ML 30%,0,0,-
2015-01-07,PEMEXF1,466,LEVOCETIRIZINA,FRASCO SOLUCION INFANTIL 150 ML 50 MG/100 ML,0,0,-
2015-01-07,PEMEXF1,467,LEVOCETIRIZINA,CAJA CON 10 TABLETAS 5 MG,0,0,-
2015-01-07,PEMEXF1,468,LEVODOPA,BENSERACIDA CLORHIDRATO DE FRASCO 100 COMPRIMIDOS 100/25 MG,0,0,-
2015-01-07,PEMEXF1,469,LEVODOPA,CARBIDOPA CAJA CON 100 TABLETAS 250/25 MG,0,0,-
2015-01-07,PEMEXF1,470,LEVODOPA,CARBIDOPA ENTACAPONE CAJA CON 30 TABLETAS 100/25/ 200 MG,0,0,-
2015-01-07,PEMEXF1,471,LEVODROPROPIZINA,FRASCO JARABE 120 ML 600 MG,0,0,-
2015-01-07,PEMEXF1,473,LEVOTIROXINA ,SODICA CAJA CON 50 TABLETAS 75 MCG,0,0,-
2015-01-07,PEMEXF1,474,LEVOTIROXINA ,SODICA CAJA CON 50 TABLETAS 100 MCG,0,0,-
2015-01-07,PEMEXF1,475,LEVOTIROXINA ,SODICA LIOTIRONINA SODICA CAJA CON 50 TABLETAS 100/20 MCG,0,0,-
2015-01-07,PEMEXF1,477,LINEZOLID,CAJA CON 10 TABLETAS 600 MG,0,0,-
2015-01-07,PEMEXF1,478,LISADOS,LISADO BACTERIANOS HAEMOLYTICUS INFLUENZAE STAPHYLOCOCCUSS AUREUS MORAXELLA CATARRHALIS KLEBSIELLA PNEUMONIAE DIPLOCOCCUS PNEUMONIAE STREPTOCOCCUS PYOGENES STREPTOCOCCUS AGALACTIAE STREPTOCOCCUS DYSGALACTIAE STREPTOCOCCUS ANGINOSUS CAJA CON 10 AMPULAS  CADA CEPA 6X10 8 BACTERIAS /3 ML,0,0,-
2015-01-07,PEMEXF1,479,LISADOS,STAPHYLOCOCCUS MITIS STAPHYLOCOCCUS PYOGENES STAPHYLOCOCCUS PNEUMONIAE KLEBSIELLA PNEUMONIAE BRANHAMELLA CATARRHALIS HAEMOPHILUS INFLUENZAE CAJA CON 28 COMPRIMIDOS  CADA CEPA 1 X 10 9 BACTERIAS / COMPRIMIDOS,0,0,-
2015-01-07,PEMEXF1,481,LISINOPRIL,HIDROCLOROTIAZIDA CAJA CON 14 TABLETAS 20/12 5 MG,0,0,-
2015-01-07,PEMEXF1,482,LITIO ,CARBONATO DE CAJA CON 50 TABLETAS 300 MG,0,0,-
2015-01-07,PEMEXF1,483,LOMIFILINA,DIHIDROERGOCRISTINA MESILATO DE CAJA CON 30 GRAGEAS 80/0 8 MG,0,0,-
2015-01-07,PEMEXF1,485,LORATADINA,FRASCO JARABE 60 ML 5 MG/5 ML,0,0,-
2015-01-07,PEMEXF1,488,LORATADINA ,FENILEFRINA CAJA CON 10 CAPSULAS 5 / 20 MG,0,0,-
2015-01-07,PEMEXF1,489,LORATADINA ,FENILEFRINA FRASCO JARABE 60 ML 1/ 4 MG,0,0,-
2015-01-07,PEMEXF1,490,LORAZEPAM,CAJA CON 40 TABLETAS 2 MG,0,0,-
2015-01-07,PEMEXF1,493,LOSARTAN POTASICO,POTASICO HIDROCLOROTIAZIDA CAJA CON 15 GRAGEAS 100/25 MG,0,0,-
2015-01-07,PEMEXF1,494,MACROGOL 3350,CAJA CON 15 SOBRES 17 G POLVO,0,0,-
2015-01-07,PEMEXF1,495,MACROGOL 3350,BICARBONATO DE SODIO CLORURO DE SODIO CLORURO DE POTASIO CAJA CON 4 SOBRES 109 6 G POLVO 105/1 43/2 80/0 37 G,0,0,-
2015-01-07,PEMEXF1,, ROSIGLITAZONA ,CLORHIDRATO DE,0,0,-
2015-01-07,PEMEXF1,497, ROSIGLITAZONA ,CLORHIDRATO DE METFORMINA CAJA CON 14 TABLETAS 4 MG/1000 MG,0,0,-
2015-01-07,PEMEXF1,498,ROSIGLITAZONA ,CLORHIDRATO DE METFORMINA CAJA CON 14 TABLETAS 4 MG/500 MG,0,0,-
2015-01-07,PEMEXF1,499, TEGASEROD,CAJA CON 30 COMPRIMIDOS 6 MG,0,0,-
2015-01-07,PEMEXF1,500,MAPROTILINA ,CLORHIDRATO DE CAJA CON 30 GRAGEAS 25 MG,0,0,-
2015-01-07,PEMEXF1,502,MECLIZINA ,CLORHIDRATO DE PIRIDOXINA CLORHIDRATO DE FRASCO JARABE 120 ML 0 297/0 608 G/100 ML,0,0,-
2015-01-07,PEMEXF1,503,MECLIZINA ,CLORHIDRATO DE PIRIDOXINA CLORHIDRATO DE FRASCO SOLUCION GOTAS 15 ML 0 833 /1 666 G /100 ML,0,0,-
2015-01-07,PEMEXF1,504,MECLIZINA,CLORHIDRATO DE PIRIDOXINA CLORHIDRATO DE CAJA CON 20 TABLETAS 25 / 50 MG,0,0,-
2015-01-07,PEMEXF1,505,MEDROXIPROGESTERONA ,ACETATO DE CAJA CON 24 TABLETAS 5 MG,0,0,-
2015-01-07,PEMEXF1,506,MEFENAMICO ,ACIDO CAJA CON 15 TABLETAS 500 MG,0,0,-
2015-01-07,PEMEXF1,510,MELOXICAM,CARISOPRODOL CAJA 7 TABLETAS 15 MG/200 MG,0,0,-
2015-01-07,PEMEXF1,511,MEMANTINA ,CLORHIDRATO DE CAJA CON 14 TABLETAS 10 MG,0,0,-
2015-01-07,PEMEXF1,512,MENADIONA, BISULFITO SODICO DE  VITAMINA K3  FRASCO AMPULA 5 ML 50 MG,0,0,-
2015-01-07,PEMEXF1,520,METANSULFONATO ,DE REBOTEXINA CAJA CON 30 TABLETAS 4 MG,0,0,-
2015-01-07,PEMEXF1,522,METFORMINA ,CLORHIDRATO DE CAJA CON 30 TABLETAS 500 MG,0,0,-
2015-01-07,PEMEXF1,523,METILERITROMICINA  ,O  CLARITROMICINA  FRASCO SUSPENSION 60 ML 250 MG,0,0,-
2015-01-07,PEMEXF1,524,METILERITROMICINA  ,O  CLARITROMICINA  CAJA CON 10 TABLETAS 500 MG,0,0,-
2015-01-07,PEMEXF1,525,METILERITROMICINA  ,O  CLARITROMICINA  CAJA CON 10 TABLETAS 250 MG,0,0,-
2015-01-07,PEMEXF1,527,METILFENIDATO ,CLORHIDRATO DE CAJA CON 30 CAPSULAS LIBERACION PROLONGADA 20 MG,0,0,-
2015-01-07,PEMEXF1,528,METILFENIDATO ,CLORHIDRATO DE CAJA CON 30 TABLETAS LIBERACION PROLONGADA 18 MG,0,0,-
2015-01-07,PEMEXF1,529,METILFENIDATO ,CLORHIDRATO DE CAJA CON 30 TABLETAS LIBERACION PROLONGADA 54 MG,0,0,-
2015-01-07,PEMEXF1,530,METILFENIDATO ,CLORHIDRATO DE CAJA CON 30 TABLETAS LIBERACION PROLONGADA 36 MG,0,0,-
2015-01-07,PEMEXF1,531,METILFENIDATO ,CLORHIDRATO DECAJA CON 30 TABLETAS LIBERACION PROLONGADA 27 MG,0,0,-
