Fecha de Operación,Fecha,Referencia,Descripcion,Cod. Transac,Sucursal,Depósitos,Retiros,Saldo,Movimiento,Descripción Detallada
31/01/2015,03/02/2015,0,DEP.EFECTIVO 108204051,0,188,1630.50,,137126.91,5602,
31/01/2015,03/02/2015,0,DEP.EFECTIVO 111024058,0,1490,935.00,,138061.91,5603,
31/01/2015,03/02/2015,0,DEP.EFECTIVO 117513054,0,1566,5184.50,,143246.41,5604,
31/01/2015,03/02/2015,0,DEP.EFECTIVO 116501057,0,1424,3446.50,,146692.91,5605,
03/02/2015,03/02/2015,0,DEP.EFECTIVO 133448053,0,2460,3166.00,,149858.91,5606,
03/02/2015,03/02/2015,0,DEP.EFECTIVO 133448061,0,2460,1942.50,,151801.41,5607,
03/02/2015,03/02/2015,0,DEP.EFECTIVO 133448079,0,2460,1417.50,,153218.91,5608,
03/02/2015,03/02/2015,0,DEP.EFECTIVO 133448012,0,2460,764.50,,153983.41,5609,
03/02/2015,03/02/2015,0,DEP.EFECTIVO 124901052,0,2104,1904.00,,155887.41,5610,
03/02/2015,03/02/2015,0,DEP.EFECTIVO 124901060,0,2104,2502.00,,158389.41,5611,
03/02/2015,03/02/2015,0,DEP.EFECTIVO 124901078,0,2104,2469.50,,160858.91,5612,
03/02/2015,03/02/2015,0,DEP.EFECTIVO 124901011,0,2104,1233.50,,162092.41,5613,
03/02/2015,03/02/2015,0,DEP.EFECTIVO 117001050,0,274,1929.50,,164021.91,5614,
03/02/2015,03/02/2015,0,DEP.EFECTIVO 117001076,0,274,375.50,,164397.41,5615,
03/02/2015,03/02/2015,0,DEP.EFECTIVO 117001068,0,274,2664.50,,167061.91,5616,
03/02/2015,03/02/2015,0,DEP.EFECTIVO 117001019,0,274,526.00,,167587.91,5617,
03/02/2015,03/02/2015,0,DEP.EFECTIVO 117901051,0,2067,1755.50,,169343.41,5618,
03/02/2015,03/02/2015,0,DEP.EFECTIVO 117901069,0,2067,1844.50,,171187.91,5619,
03/02/2015,03/02/2015,0,DEP.EFECTIVO 117901010,0,2067,1474.00,,172661.91,5620,
03/02/2015,03/02/2015,0,DEP.EFECTIVO 111501071,0,2290,3123.00,,175784.91,5621,
03/02/2015,03/02/2015,0,DEP.EFECTIVO 111501063,0,2290,2703.00,,178487.91,5622,
03/02/2015,03/02/2015,0,DEP.EFECTIVO 117901077,0,2067,2034.50,,180522.41,5623,
03/02/2015,03/02/2015,0,DEP.EFECTIVO 111501055,0,2290,3189.00,,183711.41,5624,
03/02/2015,03/02/2015,0,DEP.EFECTIVO 111501014,0,2290,2543.50,,186254.91,5625,
03/02/2015,03/02/2015,0,DEP.EFECTIVO 131801055,0,2102,3917.50,,190172.41,5626,
03/02/2015,03/02/2015,0,DEP.EFECTIVO 92508053,0,3630,4812.75,,194985.16,5627,
03/02/2015,03/02/2015,0,DEP.EFECTIVO 131801071,0,2102,1928.50,,196913.66,5628,
