FECHA,CONTRATO,No. Concepto,Descripción detallada de los bienes                                (principio activo),Presentación                                         unidad de medida ,MAXIMO,MINIMO,CLAVE GOB,,
2015-02-18,METRO 2015,1,Ácido acetilsalicílico,Tableta 500 mg 20 tabletas,0,0,101,,
2015-02-18,METRO 2015,2,Ácido acetilsalicílico,Tableta soluble o efervescente 300 mg 20 tabletas solubles o efervescentes,0,0,103,,
2015-02-18,METRO 2015,3,Paracetamol,Tableta 500 mg 10 tabletas,0,0,104,,
2015-02-18,METRO 2015,4,Paracetamol,Supositorio 300 mg 3 supositorios,0,0,105,,
2015-02-18,METRO 2015,5,Paracetamol,Solución oral 100 mg/ml Envase con gotero 15 ml,0,0,106,,
2015-02-18,METRO 2015,6,Metamizol sódico,Comprimido 500 mg 10 comprimidos,0,0,108,,
2015-02-18,METRO 2015,7,Metamizol sódico,Solución inyectable 1 g/ 2 ml 3 ampolletas con 2 ml,0,0,109,,
2015-02-18,METRO 2015,8,Paracetamol,Supositorio 100 mg 3 supositorios,0,0,514,,
2015-02-18,METRO 2015,9,Paracetamol,Supositorio 100 mg 6 supositorios,0,0,514.01,,
2015-02-18,METRO 2015,10,Paracetamol,Supositorio 100 mg 10 supositorios,0,0,514.02,,
2015-02-18,METRO 2015,11,Paracetamol,Solución inyectable 1g/100 ml Envase con un frasco ampula con 100 ml,0,0,,,
2015-02-18,METRO 2015,12,Ibuprofeno,Tabletas o capsulas 200 mg Envase con 10 tabletas o capsulas,0,0,5940,,
2015-02-18,METRO 2015,13,Ibuprofeno,Tabletas o capsulas 200 mg Envase con 20 tabletas o capsulas,0,0,5940.02,,
2015-02-18,METRO 2015,14,Ibuprofeno,Tabletas o capsulas 200 mg Envase con 30 tabletas o capsulas,0,0,5940.04,,
2015-02-18,METRO 2015,15,Ibuprofeno,Tabletas o capsulas 400 mg Envase con 10 tabletas o capsulas,0,0,5941,,
2015-02-18,METRO 2015,16,Ibuprofeno,Tabletas o capsulas 400 mg Envase con 20 tabletas o capsulas,0,0,5941.02,,
2015-02-18,METRO 2015,17,Ibuprofeno,Tabletas o capsulas 400 mg Envase con 30 tabletas o capsulas,0,0,5941.04,,
2015-02-18,METRO 2015,18,Ibuprofeno,suspension oral 2 grs Envase con 120 ml y medida dosificadora,0,0,5943,,
2015-02-18,METRO 2015,19,Ibuprofeno,suspension oral 40 mg Envase con gotero con 15 ml,0,0,5944,,
