Fecha de Operación,Fecha,Referencia,Descripcion,Cod. Transac,Sucursal,Depósitos,Retiros,Saldo,Movimiento,Descripción Detallada
28/02/2015,02/03/2015,0,DEP.EFECTIVO 108204051,0,188,"$2,272.00",,"$179,783.86",7824,
28/02/2015,02/03/2015,0,DEP.EFECTIVO 1209130556,0,1536,"$1,368.50",,"$181,152.36",7825,
28/02/2015,02/03/2015,0,DEP.EFECTIVO 1209130493,0,1536,"$1,594.50",,"$182,746.86",7826,
28/02/2015,02/03/2015,0,DEP.EFECTIVO 133448053,0,2460,"$3,189.50",,"$185,936.36",7827,
28/02/2015,02/03/2015,0,DEP.EFECTIVO 13807059,0,2605,"$4,158.00",,"$190,094.36",7828,
28/02/2015,02/03/2015,0,DEP.EFECTIVO 111024058,0,1490,"$1,482.00",,"$191,576.36",7829,
28/02/2015,02/03/2015,0,DEP.EFECTIVO 96901056,0,2043,"$2,084.50",,"$193,660.86",7830,
28/02/2015,02/03/2015,0,DEP.EFECTIVO 116501057,0,1424,"$2,691.00",,"$196,351.86",7831,
28/02/2015,02/03/2015,0,DEP.EFECTIVO 117513054,0,1566,"$3,290.50",,"$199,642.36",7832,
02/03/2015,02/03/2015,0,DEP.EFECTIVO 122701065,0,2325,$638.50,,"$200,280.86",7833,
02/03/2015,02/03/2015,0,DEP.EFECTIVO 122701073,0,2325,$927.50,,"$201,208.36",7834,
02/03/2015,02/03/2015,0,DEP.EFECTIVO 122701057,0,2325,"$1,905.50",,"$203,113.86",7835,
02/03/2015,02/03/2015,0,DEP.EFECTIVO 13807067,0,2605,"$2,169.50",,"$205,283.36",7836,
02/03/2015,02/03/2015,0,DEP.EFECTIVO 138070705,0,2605,"$1,282.50",,"$206,565.86",7837,
02/03/2015,02/03/2015,0,DEP.EFECTIVO 133448079,0,2460,$774.00,,"$207,339.86",7838,
02/03/2015,02/03/2015,0,DEP.EFECTIVO 133448061,0,2460,"$2,640.50",,"$209,980.36",7839,
02/03/2015,02/03/2015,200,TRASPASO A CUENTA PROPIA,790,8846,,"$209,980.35",$0.01,7840,"IVA:00000000.00 , A LA CUENTA 0136679699, 200 AL R.F.C. FTI9211036K2"
02/03/2015,02/03/2015,0,DEP.EFECTIVO 120501057,0,2325,"$2,618.50",,"$2,618.51",7841,
02/03/2015,02/03/2015,0,DEP.EFECTIVO 120501065,0,2325,"$2,903.50",,"$5,522.01",7842,
02/03/2015,02/03/2015,0,DEP.EFECTIVO 094301057,0,1938,"$2,865.00",,"$8,387.01",7843,
02/03/2015,02/03/2015,0,DEP.EFECTIVO 120501073,0,2325,"$1,557.00",,"$9,944.01",7844,
02/03/2015,02/03/2015,0,DEP.EFECTIVO 094301065,0,1938,"$2,926.30",,"$12,870.31",7845,
02/03/2015,02/03/2015,0,DEP.EFECTIVO 094301073,0,1938,"$1,556.50",,"$14,426.81",7846,
02/03/2015,02/03/2015,0,DEP.EFECTIVO 121201050,0,275,"$1,901.50",,"$16,328.31",7847,
